id,type,group_name,target
10062,IN21A002,,['LegNpT2_R']
10071,IN19A029,,['LegNpT1_R']
10125,IN19A008,2_GABA_sets_2(12),['LegNpT2_R']
10134,IN19A008,2_GABA_sets_2(12),['LegNpT3_R']
10144,IN19A003,4_GABA_sets(30),['LegNpT2_R']
10154,IN19A003,4_GABA_sets(30),['LegNpT1_R']
10156,IN19A003,4_GABA_sets(30),['LegNpT2_L']
10168,IN13A001,,['LegNpT2_R']
10184,IN19A011,19A_GABA_sets(12),['LegNpT3_R']
10187,IN21A004,,['LegNpT2_R']
10192,IN19A003,4_GABA_sets(30),['LegNpT1_L']
10199,IN19A008,2_GABA_sets_2(12),['LegNpT1_L']
10215,IN19A007,19A_GABA_sets(12),['LegNpT3_L']
10220,IN19B003,4_ACH_sets_2(24),['LegNpT1_L']
10230,IN13A009,2_unk_sets(12),['LegNpT1_R']
10231,IN19B003,4_ACH_sets_2(24),['LegNpT3_R']
10233,IN19A004,,['LegNpT2_R']
10236,IN19A016,4_GABA_sets(30),['LegNpT2_L']
10242,IN19A007,19A_GABA_sets(12),['LegNpT1_L']
10252,IN19A007,19A_GABA_sets(12),['LegNpT2_R']
10254,IN19A011,19A_GABA_sets(12),['LegNpT2_R']
10259,IN19A004,,['LegNpT1_R']
10263,IN13A001,,['LegNpT3_L']
10274,INXXX464,4_ACH_sets_2(24),['LegNpT1_R']
10289,IN13A001,,"['LegNpT3_R', 'MetaLNR']"
10302,IN19B003,4_ACH_sets_2(24),['LegNpT2_R']
10305,IN21A001,,"['IntTct', 'LegNpT2_R', 'WTctUTct-T2_R']"
10308,IN19A011,19A_GABA_sets(12),['LegNpT2_L']
10310,IN19A006,,"['LegNpT2_L', 'LegNpT3_L']"
10312,IN21A001,,"['LegNpT2_L', 'WTctUTct-T2_L']"
10317,IN19A004,,"['IntTct', 'LegNpT1_L']"
10341,IN03A007,,['LegNpT3_L']
10342,IN09A002,,"['IntTct', 'LegNpT1_L', 'NTctUTct-T1_L']"
10346,IN19A007,19A_GABA_sets(12),['LegNpT3_R']
10347,Ti extensor MN,,"['LegNpT3_L', 'MetaLNL']"
10352,IN19A004,,"['ANm', 'LegNpT3_R']"
10358,IN19A004,,['LegNpT3_L']
10372,IN19A003,4_GABA_sets(30),['LegNpT3_R']
10377,IN21A002,,['LegNpT3_R']
10380,IN09A002,,"['ANm', 'LegNpT3_R']"
10403,IN09A002,,"['ANm', 'LegNpT3_L']"
10422,IN19A006,,"['LegNpT1_R', 'LegNpT2_R', 'WTctUTct-T2_R']"
10427,IN19A007,19A_GABA_sets(12),['LegNpT1_R']
10445,IN09A002,,"['IntTct', 'LegNpT1_R', 'NTctUTct-T1_R']"
10461,Ti extensor MN,,['LegNpT2_R']
10462,Ti extensor MN,,['LegNpT3_R']
10478,IN19B003,4_ACH_sets_2(24),['LegNpT2_L']
10489,IN19A004,,"['IntTct', 'LTct', 'LegNpT2_L']"
10537,IN09A003,,"['LegNpT2_R', 'OvR']"
10552,IN19A006,,"['HTctUTct-T3_R', 'LegNpT2_R', 'LegNpT3_R', 'MesoANR']"
10565,IN13A009,2_unk_sets(12),['LegNpT3_R']
10584,IN13A001,,['LegNpT1_L']
10586,IN08A005,2_GLU_sets_2(12),['LegNpT3_R']
10630,IN09A002,,"['LegNpT2_R', 'WTctUTct-T2_R']"
10635,IN13A021,,['LegNpT1_R']
10652,IN08A006,2_GABA_sets(12),['LegNpT2_L']
10653,IN08A005,2_GLU_sets_2(12),['LegNpT1_L']
10662,IN21A001,,"['HTctUTct-T3_L', 'LegNpT3_L']"
10671,IN08A005,2_GLU_sets_2(12),['LegNpT2_L']
10672,IN08A005,2_GLU_sets_2(12),['LegNpT1_R']
10677,INXXX464,4_ACH_sets_2(24),['LegNpT3_R']
10678,IN08A005,2_GLU_sets_2(12),['LegNpT2_R']
10679,IN09A010,4_GABA_sets(30),['LegNpT1_L']
10685,IN19A016,4_GABA_sets(30),['LegNpT2_R']
10692,IN21A001,,['LegNpT1_L']
10693,IN19A006,,"['HTctUTct-T3_R', 'LTct', 'LegNpT2_R', 'LegNpT3_R']"
10702,IN13A001,,['LegNpT2_L']
10710,Ti flexor MN,,['LegNpT2_L']
10711,IN13A010,2_GABA_sets_2(12),['LegNpT2_R']
10715,IN19B012,,['LegNpT1_L']
10722,IN08A006,2_GABA_sets(12),['LegNpT1_L']
10728,IN21A001,,"['LegNpT1_R', 'NTctUTct-T1_R']"
10730,IN19A006,,"['HTctUTct-T3_L', 'LegNpT2_L', 'LegNpT3_L']"
10731,IN19A006,,"['LegNpT1_R', 'LegNpT2_R', 'NTctUTct-T1_R', 'WTctUTct-T2_R']"
10737,Ti extensor MN,,"['LTct', 'LegNpT2_L']"
10739,IN14A008,3_GLU_sets(18),['LegNpT1_R']
10742,IN09A003,,['LegNpT3_L']
10780,IN21A001,,['LegNpT3_R']
10786,IN09A003,,"['IntTct', 'LegNpT2_L', 'OvL']"
10790,IN19B012,,['LegNpT3_L']
10793,IN19A016,4_GABA_sets(30),['LegNpT2_R']
10801,IN09A003,,['LegNpT3_R']
10803,IN08A005,2_GLU_sets_2(12),['LegNpT3_L']
10810,IN09A002,,['LegNpT2_L']
10820,IN13A001,,['LegNpT1_R']
10824,IN13A006,13A_GABA_sets(32),['LegNpT2_R']
10827,IN03A007,,['LegNpT1_L']
10828,IN19A006,,"['IntTct', 'LTct', 'LegNpT1_L', 'LegNpT2_L', 'WTctUTct-T2_L']"
10845,IN21A002,,['LegNpT2_L']
10866,Tr extensor MN,,['LegNpT3_R']
10870,IN03A007,,['LegNpT3_R']
10875,IN21A010,,"['IntTct', 'LTct', 'LegNpT2_R', 'MesoLNR']"
10888,IN13A010,2_GABA_sets_2(12),['LegNpT3_R']
10890,IN08A006,2_GABA_sets(12),['LegNpT3_L']
10918,IN21A002,,['LegNpT1_R']
10927,INXXX464,4_ACH_sets_2(24),['LegNpT3_L']
10940,IN13A006,13A_GABA_sets(32),['LegNpT3_R']
10978,IN21A004,,['LegNpT3_L']
10983,IN09A003,,"['IntTct', 'LegNpT1_L']"
11022,Sternal anterior rotator MN,,"['LegNpT3_R', 'MetaLNR']"
11029,IN19A022,4_GABA_sets(30),['LegNpT2_R']
11038,IN21A010,,"['LTct', 'LegNpT2_L']"
11043,IN20A.22A001,2_ACH_sets(18),['LegNpT3_R']
11057,IN19B003,4_ACH_sets_2(24),['LegNpT1_R']
11060,IN21A008,2_GLU_sets(12),['LegNpT3_R']
11093,IN19B012,,['LegNpT2_L']
11103,IN13A014,13A_GABA_sets(32),['LegNpT2_L']
11109,IN19B012,,"['HTctUTct-T3_R', 'LegNpT2_R']"
11115,Ti extensor MN,,['LegNpT2_L']
11122,IN21A004,,['LegNpT3_R']
11152,IN13A006,13A_GABA_sets(32),['LegNpT1_R']
11166,IN13A015,13A_GABA_sets(32),['LegNpT3_L']
11171,IN21A004,,['LegNpT2_L']
11190,IN03A007,,"['LegNpT2_R', 'OvR']"
11191,IN01A015,4_ACH_sets(24),['LegNpT2_L']
11195,IN08A006,2_GABA_sets(12),['LegNpT1_R']
11196,IN09A003,,"['IntTct', 'LegNpT1_R', 'ProCNR']"
11206,IN21A008,2_GLU_sets(12),['LegNpT3_L']
11226,Fe reductor MN,,['LegNpT1_R']
11239,IN21A004,,"['LegNpT1_L', 'LegNpT1_R']"
11240,IN13A009,2_unk_sets(12),['LegNpT2_R']
11271,IN13A006,13A_GABA_sets(32),['LegNpT3_L']
11277,IN13A014,13A_GABA_sets(32),['LegNpT3_R']
11288,IN01A015,4_ACH_sets(24),['LegNpT2_R']
11289,IN21A012,4_ACH_sets(24),['LegNpT1_R']
11303,IN19A003,4_GABA_sets(30),['LegNpT3_L']
11316,IN19A008,2_GABA_sets_2(12),['LegNpT1_R']
11325,IN21A010,,"['ANm', 'LegNpT3_R']"
11331,IN19A006,,"['LegNpT1_L', 'LegNpT2_L', 'WTctUTct-T2_L']"
11340,IN08A007,2_GLU_sets_2(12),['LegNpT3_R']
11348,IN21A009,3_GLU_sets(18),['LegNpT3_R']
11367,IN08A007,2_GLU_sets_2(12),['LegNpT2_L']
11381,IN17A017,2_ACH_sets(18),['LegNpT2_L']
11400,Sternal posterior rotator MN,,['LegNpT3_R']
11404,IN17A017,2_ACH_sets(18),['LegNpT2_R']
11411,IN19A022,4_GABA_sets(30),['LegNpT3_R']
11435,IN13A009,2_unk_sets(12),['LegNpT1_L']
11438,IN21A008,2_GLU_sets(12),['LegNpT2_L']
11450,INXXX464,4_ACH_sets_2(24),['LegNpT2_L']
11456,IN13B006,,['LegNpT2_L']
11484,IN21A009,3_GLU_sets(18),['LegNpT1_L']
11489,Ti extensor MN,,['LegNpT2_R']
11501,IN13A014,13A_GABA_sets(32),['LegNpT3_L']
11502,IN21A015,,"['IntTct', 'LegNpT2_L']"
11503,IN08A007,2_GLU_sets_2(12),['LegNpT3_L']
11509,IN13A021,,['LegNpT1_L']
11511,IN19A016,4_GABA_sets(30),['LegNpT1_L']
11516,IN20A.22A001,2_ACH_sets(18),['LegNpT3_R']
11529,Sternal posterior rotator MN,,"['LegNpT2_R', 'MesoLNR']"
11530,IN20A.22A001,2_ACH_sets(18),['LegNpT2_R']
11538,IN13A014,13A_GABA_sets(32),['LegNpT2_R']
11550,IN21A012,4_ACH_sets(24),['LegNpT3_R']
11562,Sternal anterior rotator MN,,"['LegNpT3_R', 'MetaLNR']"
11575,IN13A010,2_GABA_sets_2(12),['LegNpT2_L']
11589,IN21A010,,"['LegNpT1_L', 'NTctUTct-T1_L']"
11602,IN17A017,2_ACH_sets(18),['LegNpT3_R']
11606,IN21A009,3_GLU_sets(18),['LegNpT2_R']
11610,IN13A006,13A_GABA_sets(32),['LegNpT2_L']
11631,IN21A017,4_ACH_sets(24),['LegNpT3_L']
11636,IN20A.22A001,2_ACH_sets(18),['LegNpT1_L']
11640,IN13A006,13A_GABA_sets(32),['LegNpT1_L']
11657,Ti extensor MN,,['LegNpT1_L']
11666,IN17A041,3_GLU_sets(18),['LegNpT1_L']
11680,IN19A007,19A_GABA_sets(12),['LegNpT2_L']
