/home/jegou/SemProj2/venvs/myenv/lib/python3.10/site-packages/gymnasium/wrappers/record_video.py:94: UserWarning: [33mWARN: Overwriting existing videos at /home/jegou/SemProj2/videoRL folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
Moviepy - Building video /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4.
Moviepy - Writing video /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4

t:   0%|          | 0/62 [00:00<?, ?it/s, now=None]t:   3%|▎         | 2/62 [00:00<00:09,  6.37it/s, now=None]t:   5%|▍         | 3/62 [00:00<00:08,  7.36it/s, now=None]t:  52%|█████▏    | 32/62 [00:00<00:00, 93.46it/s, now=None]t:  98%|█████████▊| 61/62 [00:00<00:00, 152.72it/s, now=None]                                                             Moviepy - Done !
Moviepy - video ready /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4
[Episode    0] total reward = 25.831388, length = 60

[    0 /  3001]
----------------------------------
actor loss = 13.733689
critic loss = 1499.776367
entropy = 8.448282
mean return = 0.129157
mean length = 0.30

Saving the model ... Done.

[Episode    1] total reward = 39.445419, length = 85
[Episode    2] total reward = 27.081291, length = 72
[Episode    3] total reward = 29.373905, length = 65
[Episode    4] total reward = 159.711884, length = 314
[Episode    5] total reward = 24.088913, length = 66
[Episode    6] total reward = 283.523438, length = 500
[Episode    7] total reward = 28.656212, length = 65
[Episode    8] total reward = 21.481035, length = 55
[Episode    9] total reward = 254.190491, length = 500
[Episode   10] total reward = 261.287567, length = 500
[Episode   11] total reward = 31.034523, length = 66
[Episode   12] total reward = 31.585037, length = 77
[Episode   13] total reward = 32.386990, length = 71
[Episode   14] total reward = 34.577354, length = 72
[Episode   15] total reward = 26.464279, length = 68
[Episode   16] total reward = 268.403564, length = 485
[Episode   17] total reward = 16.519087, length = 45
[Episode   18] total reward = 31.757055, length = 66
[Episode   19] total reward = 268.091675, length = 500
[Episode   20] total reward = 43.914371, length = 105
[Episode   21] total reward = 35.315029, length = 81
[Episode   22] total reward = 269.585236, length = 500
[Episode   23] total reward = 70.824448, length = 134
